FVC,SAVI,NDVI,GRID
100,0.64581,0.5772,20
100,0.6896,0.6297,20
100,0.58348,0.52923,20
100,0.84754,0.80867,20
100,0.59987,0.54769,20
100,0.68362,0.63887,20
100,0.70598,0.66713,20
100,0.56892,0.52468,20
100,0.85692,0.84613,20
100,0.7706,0.75782,20
100,0.79527,0.78859,20
100,0.81592,0.81275,20
100,0.88237,0.89395,20
100,0.89346,0.91094,20
100,0.84741,0.86557,20
100,0.79671,0.8093,20
100,0.68259,0.69061,20
100,0.81841,0.89288,20
100,0.80122,0.92248,20
100,0.72108,0.86076,20
100,0.75415,0.92821,20
100,0.69298,0.85018,20
100,0.62802,0.96232,20
100,0.61958,0.97412,20
99,0.67933,0.65848,20
99,0.61246,0.60476,20
99,0.80346,0.88871,20
98,0.67299,0.60816,20
98,0.71841,0.68384,20
98,0.85083,0.85761,20
98,0.65459,0.66348,20
98,0.62727,0.63434,20
98,0.65956,0.80078,20
97,0.59572,0.88922,20
96,0.83509,0.95308,20
94,0.70161,0.63184,20
94,0.82996,0.84114,20
94,0.78896,0.85955,20
93,0.5966,0.9538,20
92,0.75406,0.87425,20
92,0.67758,0.9139,20
92,0.13917,0.26596,20
91,0.57286,0.56538,20
91,0.74037,0.89971,20
89,0.6426,0.69922,20
87,0.61541,0.86997,20
86,0.75419,0.89544,20
84,0.91811,0.91839,20
83,0.85707,0.85482,20
83,0.53699,0.54895,20
82,0.93803,0.92095,20
82,0.74452,0.73608,20
81,0.74168,0.8849,20
81,0.53287,0.7796,20
80,0.83446,0.87238,20
79,0.57888,0.89571,20
79,0.44355,0.81256,20
76,0.66519,0.76931,20
76,0.62956,0.85277,20
76,0.64167,0.92812,20
76,0.49992,0.97332,20
74,0.75152,0.79077,20
74,0.67325,0.88596,20
74,0.47663,0.6585,20
73,0.578,0.62279,20
73,0.35285,0.65016,20
71,0.21244,0.93288,20
70,0.72334,0.77994,20
70,0.47663,0.73794,20
70,0.2981,0.69271,20
68,0.4563,0.75016,20
67,0.89569,0.90239,20
67,0.78629,0.82272,20
67,0.72483,0.80891,20
67,0.52959,0.56183,20
67,0.72262,0.92747,20
67,0.58885,0.93558,20
65,0.21129,0.35212,20
65,0.23434,0.76254,20
64,0.6616,0.8102,20
64,0.49843,0.62584,20
64,0.57047,0.93915,20
64,-0.00235,-0.01026,20
63,0.68116,0.82051,20
62,0.63641,0.72812,20
62,0.47862,0.85947,20
61,0.13815,0.65213,20
61,0.03059,0.30633,20
60,0.27677,0.40494,20
60,0.34855,0.71796,20
59,0.54773,0.65265,20
59,0.47405,0.77026,20
59,0.32651,0.53836,20
58,0.63255,0.80041,20
58,0.38772,0.61739,20
58,0.35001,0.65587,20
57,0.84794,0.85281,20
54,0.80879,0.91254,20
54,0.37833,0.7011,20
53,0.48378,0.58163,20
53,0.16624,0.82559,20
51,-0.01001,-0.1138,20
50,0.39015,0.61504,20
49,-0.02364,-0.08058,20
49,-0.12874,-0.3585,20
49,0.06065,0.58894,20
48,0.03181,0.08827,20
47,-0.0306,-0.05989,20
47,0.07899,0.22055,20
47,0.00076,0.01111,20
47,0.00213,0.04259,20
46,0.16267,0.84783,20
46,-0.01425,-0.1282,20
44,0.68099,0.63168,20
44,0.75697,0.82224,20
43,0.18094,0.36416,20
42,-0.13354,-0.3705,20
39,-0.13767,-0.3058,20
39,0.01741,0.34516,20
38,0.13576,0.37575,20
38,-0.0522,-0.1276,20
33,-0.09585,-0.2864,20
30,0.00224,0.07401,20
29,-0.00345,-0.01474,20
27,-0.02388,-0.07887,20
26,-0.13775,-0.437,20
26,-0.16613,-0.5844,20
26,-0.0101,-0.1192,20
24,-0.12836,-0.2671,20
24,-0.06062,-0.2771,20
23,-0.13328,-0.3404,20
22,-0.15651,-0.3578,20
22,-0.15263,-0.4916,20
20,-0.15699,-0.3653,20
20,-0.00603,-0.383,20
19,-0.02506,-0.1625,20
18,-0.03288,-0.2683,20
17,-0.11344,-0.2946,20
17,-0.14585,-0.3632,20
16,-0.11173,-0.3423,20
14,-0.06309,-0.2169,20
14,-0.07046,-0.2596,20
13,-0.1669,-0.3491,20
13,-0.10936,-0.3329,20
12,-0.14428,-0.403,20
12,-0.00351,-0.0791,20
11,-0.15122,-0.3609,20
11,-0.13009,-0.3486,20
11,-0.06324,-0.3341,20
10,-0.11857,-0.3068,20
10,0.07701,0.53488,20
9,-0.1248,-0.371,20
9,-0.00174,-0.05031,20
8,-0.12578,-0.3315,20
7,-0.01407,-0.1438,20
6,-0.12537,-0.3661,20
6,-0.09882,-0.3646,20
6,-0.1462,-0.486,20
6,-0.02564,-0.2459,20
5,-0.12305,-0.322,20
5,0.00199,0.036,20
4,-0.07082,-0.2936,20
4,-0.11423,-0.4577,20
4,-0.01631,-0.164,20
3,-0.14393,-0.3013,20
3,-0.17845,-0.4152,20
3,-0.01564,-0.1792,20
2,-0.14681,-0.3195,20
2,-0.15134,-0.4603,20
2,-0.00962,-0.1169,20
1,-0.17198,-0.3454,20
1,-0.13697,-0.3147,20
1,-0.10587,-0.3112,20
1,-0.1042,-0.3129,20
1,-0.11932,-0.3831,20
1,-0.14187,-0.4333,20
1,-0.08237,-0.3338,20
1,-0.09577,-0.3761,20
